Disease	Type	Country	Symptom	Transmission
Diphtheritic stomatitis				
Enteroinvasive Escherichia coli				
Epidural abscess	bacteria			
Epiglottitis	bacteria	united states 	blister; cough	respiratory; blood; food
Erysipelas	bacteria	denmark ; russia ; ireland ; united kingdom ; oman ; united states 	blister; headache; fatigue; obesity; chills; vomiting; shivering	blood; oral; animal bite; sex; food; contact
Far East scarlet-like fever				
Fitz-Hugh–Curtis syndrome				
Foot rot				
Gardnerella vaginalis	bacteria	oman 		blood; oral; sex; urine
Garre's sclerosing osteomyelitis	bacteria			
Actinomycetota	bacteria	nepal 		
Granuloma inguinale	bacteria	less-developed		oral; blood; sex; contact
Haemophilus meningitis	bacteria	india ; brazil ; less-developed	nausea; irritability; headache; stiff neck; cough; vomiting	contact
Histophilus somni				
Human monocytotropic ehrlichiosis	virus	united states 	malaise; headache	
Hundred days' cough				
Interdigital dermatitis in cattle				
Legionella	bacteria	guinea ; benin ; spain ; japan ; united states ; australia ; new zealand ; france ; norway ; oman ; sudan ; jordan ; canada ; united kingdom 	chills; nausea; cough; headache	blood; urine; sex; respiratory
Lemierre's syndrome	bacteria	guinea 	muscle pain; cough; headache; fatigue; abdominal pain; nausea; lethargy; vomiting; chest pain	blood; saliva; urine
Leprosy	bacteria	greece ; india ; norway ; japan ; seychelles ; france ; new zealand ; oman ; iran ; united states ; brazil 	blister; runny nose; cough; congestion; muscle weakness	blood; oral; respiratory; sex; contact
Listeriosis	bacteria	macedonia ; mexico ; turkey ; finland ; spain ; australia ; iceland ; iran ; united states ; oman 	nausea; stiff neck; headache; loss of balance	blood; oral; food; fecal
Lyme disease	bacteria	tunisia ; egypt ; japan ; netherlands ; slovakia ; italy ; guinea ; sweden ; canada ; brazil ; jersey ; china ; ireland ; united kingdom ; poland ; oman ; czech republic ; russia ; mongolia ; mexico ; germany ; australia ; united states ; austria ; iraq 	depression; blister; muscle pain; joint pain; malaise; headache; fatigue; high fever; palpitations; chills; nausea; skin rash; dizziness; chest pain; indigestion; sweating	blood; urine; oral; respiratory; sex; food; saliva; contact
Meningococcal disease	bacteria	nigeria ; ireland ; burkina faso ; niger 	stiff neck; malaise; anxiety; high fever; headache; abdominal pain; chills; nausea; bruising; vomiting; dizziness	blood; oral; respiratory; sex; food; saliva; contact
Methicillin-resistant Staphylococcus aureus	bacteria	turkey ; japan ; sweden ; united states ; canada ; taiwan ; argentina ; india ; georgia ; mexico ; united kingdom ; portugal ; venezuela ; chile ; monaco ; colombia ; ghana ; brazil 	skin peeling; nausea; vomiting; abdominal pain; cough; coma	blood; oral; urine; respiratory; sex; food; contact
Mycobacterium	bacteria	india ; china ; israel ; portugal ; djibouti ; uganda ; australia ; iran ; united states ; oman ; new zealand ; singapore ; finland ; mexico 	weight loss; loss of appetite; cough; coma; fatigue; chills; sneezing; back pain; chest pain; muscle weakness; abdominal pain	blood; urine; respiratory; food; contact; sex
Mycobacterium avium-intracellulare infection				
Mycoplasma amphoriforme				
Mycoplasma hyorhinis				
Mycoplasma pneumonia	bacteria	india ; united states ; jordan ; japan 	malaise; cough; headache	oral; respiratory; urine; contact; blood
Mycoplasma synoviae				
Nanobacterium	bacteria	turkey 		blood; oral
Necrotizing fasciitis	bacteria		obesity; vomiting	blood; fecal; sex; urine
Nocardiosis	bacteria		cough; lethargy; headache; chest pain	oral; blood
Noma (disease)	bacteria			oral
Nontuberculous mycobacteria	bacteria	oman 	malaise; cough; weight loss; fatigue	respiratory
Occupational exposure to Lyme disease				
Omphalitis of newborn	bacteria	united states 	fast heart rate	blood; respiratory
Orbital cellulitis	bacteria	new zealand 	coma; lethargy; itching	blood; respiratory; oral
Ornithobacterium hominis				
Ornithobacterium rhinotracheale	bacteria		cough; sneezing	respiratory
Osteomyelitis				
Overwhelming post-splenectomy infection	bacteria		malaise; cough; coma; headache; abdominal pain; chills; vomiting; shivering	blood; animal bite; oral
Paget's abscess	bacteria			oral
Pasteurella anatis				
Pasteurella canis				
Pasteurella dagmatis				
Pasteurella langaa				
Pasteurella multocida	bacteria	denmark 		respiratory; animal bite; contact; blood
Pasteurella stomatis				
Pathogenic bacteria	bacteria	tanzania 	muscle weakness; headache; chills; fatigue; muscle pain; abdominal pain; blister; cough; weight loss	fecal; fomite; oral; blood; sex; respiratory; animal bite; urine; food; contact
Pelvic inflammatory disease	bacteria	united states ; israel 	abdominal pain	blood; oral; sex; contact
Peptostreptococcus anaerobius				
Peptostreptococcus asaccharolyticus				
Periodontal abscess	bacteria		malaise	food; contact; oral; blood
Periorbital cellulitis	bacteria			blood
Peritonsillar abscess	bacteria	denmark ; ireland ; united states ; oman 	malaise; neck pain; headache; dehydration	oral; respiratory
Pneumococcal pneumonia	bacteria	netherlands 	cough; headache; fatigue; nausea; vomiting; chest pain	blood; urine; respiratory; saliva; contact
Porcine intestinal spirochaetosis				
Pott disease	bacteria			blood
Prevotella bivia				
Proctitis	virus		itching; constipation; brittle nails; abdominal pain; cramps; irritability; dizziness	blood; oral; sex; contact; fecal
Proteus OX19	bacteria	poland ; germany 		blood
Pseudomonas infection				
Psittacosis	bacteria	united states 	joint pain; coma; cough; high fever; headache	blood; respiratory; contact; oral
Pyaemia	bacteria		chills	blood
Pyomyositis	bacteria	united states 	phlegm	oral
Q fever	bacteria	italy ; jordan ; slovenia ; hungary ; poland ; australia ; netherlands ; united states ; canada 	malaise; joint pain; loss of appetite; muscle pain; headache; cough; chills; nausea; vomiting	blood; respiratory; food; contact; urine
Relapsing fever	bacteria	uganda ; ireland ; united states ; canada 	anxiety; chills; headache; nausea	blood; arthropod bite
Retropharyngeal abscess	bacteria		neck pain; stiff neck; cough; malaise	respiratory
Riemerella anatipestifer				
Salmonellosis	bacteria	denmark ; turkey ; egypt ; singapore ; romania ; netherlands ; united states ; south africa ; mexico 	dehydration; vomiting; abdominal pain; cramps	blood; oral; food; contact
Shigellosis	bacteria	united states ; israel 	dehydration; diarrhoea; abdominal pain; cramps	blood; fecal; oral; sex; food; contact
Southern tick-associated rash illness	bacteria	jersey 	fatigue; headache; muscle pain	
Staphylococcal scalded skin syndrome	bacteria	germany 	blister	oral; blood
Staphylococcus aureus				
Syphilis				
Syphilitic aortitis				
Tetanus				
Toxic shock syndrome	bacteria	united states ; new zealand ; greenland 	weight loss; malaise; coma; skin peeling; vomiting	blood; oral; urine; respiratory; contact
Trench fever	bacteria	russia ; france ; egypt 	dizziness; high fever; headache	blood
Tropical ulcer	bacteria			
Tubo-ovarian abscess				
Ureaplasma urealyticum infection				
Urogenital tuberculosis				
Vancomycin-resistant Staphylococcus aureus	bacteria			blood; sex
Vertebral osteomyelitis	bacteria	united states 	back pain	blood
